gene,length
4hbt%fig|1151304.4.peg.2389|QGM_2425|VBICloDif236768_2389|,1308
4hbt%fig|1151305.4.peg.2179|QGO_2201|VBICloDif230361_2179|,1308
4hbt%fig|1151306.3.peg.2350|QGQ_2336|VBICloDif236925_2350|,1308
4hbt%fig|1151308.3.peg.2492|QGU_2379|VBICloDif236159_2492|,1308
4hbt%fig|1151309.3.peg.2445|QGW_2461|VBICloDif235802_2445|,1308
4hbt%fig|1151310.3.peg.2370|QGY_2420|VBICloDif227600_2370|,1308
4hbt%fig|1151312.3.peg.2443|QI3_2374|VBICloDif232023_2443|,1308
4hbt%fig|1151313.3.peg.2335|QI5_2360|VBICloDif236775_2335|,1308
4hbt%fig|1151314.3.peg.2134|QI7_0025|VBICloDif228779_2134|,1308
4hbt%fig|1151316.3.peg.2422|QIA_2279|VBICloDif239914_2422|,1308
4hbt%fig|1151317.4.peg.2402|QIC_2377|VBICloDif236210_2402|,1308
4hbt%fig|1151318.4.peg.2425|QIE_2427|VBICloDif235108_2425|,1308
4hbt%fig|1151319.4.peg.2308|QIG_2351|VBICloDif228839_2308|,1308
4hbt%fig|1151320.4.peg.2422|QII_2430|VBICloDif235831_2422|,1308
4hbt%fig|1151321.4.peg.2509|QIK_2455|VBICloDif228415_2509|,1059
4hbt%fig|1151322.4.peg.2409|QIM_2434|VBICloDif236606_2409|,1308
4hbt%fig|1151323.4.peg.2553|QIO_2544|VBICloDif232516_2553|,1308
4hbt%fig|1151324.3.peg.2340|QIQ_2362|VBICloDif231248_2340|,1308
4hbt%fig|1151325.4.peg.2491|QIS_2355|VBICloDif229135_2491|,1308
4hbt%fig|1151326.4.peg.2419|QIU_2373|VBICloDif233946_2419|,1308
4hbt%fig|1151327.4.peg.2508|QIW_2468|VBICloDif233321_2508|,1308
4hbt%fig|1151328.4.peg.2308|QIY_2376|VBICloDif239574_2308|,1308
4hbt%fig|1151329.4.peg.2431|QK1_2518|VBICloDif230654_2431|,1308
4hbt%fig|1151330.4.peg.2449|QK3_2439|VBICloDif237395_2449|,1308
4hbt%fig|1151331.4.peg.2094|QK5_2092|VBICloDif232395_2094|,1308
4hbt%fig|1151332.4.peg.2414|QK7_2478|VBICloDif240383_2414|,1308
4hbt%fig|1151333.4.peg.2244|QK9_2341|VBICloDif233003_2244|,1308
4hbt%fig|1151335.4.peg.2496|QKC_2483|VBICloDif232256_2496|,1308
4hbt%fig|1151336.4.peg.2488|QKE_2511|VBICloDif231737_2488|,1308
4hbt%fig|1151337.4.peg.2371|QKG_2392|VBICloDif235859_2371|,1308
4hbt%fig|1151338.4.peg.2596|QKI_2584|VBICloDif235368_2596|,1308
4hbt%fig|1151339.4.peg.2619|QKK_2642|VBICloDif227869_2619|,1308
4hbt%fig|1151340.4.peg.2241|QKM_2238|VBICloDif229814_2241|,1308
4hbt%fig|1151341.4.peg.2397|QKO_2412|VBICloDif238732_2397|,1308
4hbt%fig|1151342.4.peg.2566|QKQ_2614|VBICloDif230508_2566|,1308
4hbt%fig|1151343.4.peg.2340|QKS_2395|VBICloDif239412_2340|,1308
4hbt%fig|1151344.4.peg.2337|QKU_2399|VBICloDif236498_2337|,1308
4hbt%fig|1151345.4.peg.2437|QKW_2473|VBICloDif234332_2437|,1308
4hbt%fig|1151346.4.peg.2266|QKY_2263|VBICloDif233076_2266|,1308
4hbt%fig|1151347.4.peg.2486|QM1_2510|VBICloDif238473_2486|,1308
4hbt%fig|1151348.4.peg.2332|QM3_2339|VBICloDif239731_2332|,1308
4hbt%fig|1151349.4.peg.2299|QM5_2397|VBICloDif233278_2299|,1308
4hbt%fig|1151350.4.peg.2307|QM7_2306|VBICloDif228635_2307|,1308
4hbt%fig|1151351.4.peg.2351|QM9_2384|VBICloDif232343_2351|,1308
4hbt%fig|1151352.4.peg.2341|QMA_2414|VBICloDif237895_2341|,1308
4hbt%fig|1151353.4.peg.2325|QMC_2379|VBICloDif231892_2325|,1308
4hbt%fig|1151354.4.peg.2331|QME_2214|VBICloDif238876_2331|,1308
4hbt%fig|1151355.3.peg.2254|QMG_2317|VBICloDif230893_2254|,1308
4hbt%fig|1151356.4.peg.2299|QMI_2372|VBICloDif228189_2299|,1308
4hbt%fig|1151357.4.peg.2422|QMK_2433|VBICloDif228985_2422|,1308
4hbt%fig|1151358.4.peg.2416|QMM_2429|VBICloDif228548_2416|,1308
4hbt%fig|1151359.4.peg.2217|QMO_2340|VBICloDif229779_2217|,1308
4hbt%fig|1151360.4.peg.2425|QMQ_2429|VBICloDif231216_2425|,1308
4hbt%fig|1151361.4.peg.2474|QMS_2450|VBICloDif235952_2474|,1308
4hbt%fig|1151362.4.peg.2244|QMU_2380|VBICloDif233680_2244|,1308
4hbt%fig|1151363.4.peg.2499|QMW_2456|VBICloDif236510_2499|,1308
4hbt%fig|1151364.4.peg.2430|QMY_2475|VBICloDif239459_2430|,1308
4hbt%fig|1151366.4.peg.2398|QO3_2389|VBICloDif230719_2398|,1308
4hbt%fig|1151367.4.peg.2394|QO5_2463|VBICloDif237187_2394|,1308
4hbt%fig|1151368.4.peg.2439|QO7_2453|VBICloDif233207_2439|,1308
4hbt%fig|1151372.4.peg.4489|QOE_1236|VBICloDif239833_4489|,1308
4hbt%fig|1151373.4.peg.2336|QOG_2363|VBICloDif233769_2336|,1308
4hbt%fig|1151374.4.peg.2308|QOI_2342|VBICloDif237604_2308|,1308
4hbt%fig|1151375.4.peg.2548|QOK_2572|VBICloDif227608_2548|,1308
4hbt%fig|1151376.4.peg.2273|QOM_2282|VBICloDif228063_2273|,1182
4hbt%fig|1151377.4.peg.2626|QOO_2489|VBICloDif239498_2626|,1308
4hbt%fig|1151378.4.peg.2275|QOQ_2255|VBICloDif236578_2275|,1308
4hbt%fig|1151380.4.peg.2272|QOU_2322|VBICloDif231036_2272|,1308
4hbt%fig|1151381.4.peg.2438|QOW_2433|VBICloDif239260_2438|,1308
4hbt%fig|1151382.4.peg.2313|QOY_2323|VBICloDif237119_2313|,1308
4hbt%fig|1151383.4.peg.2291|QQ1_2311|VBICloDif234781_2291|,1308
4hbt%fig|1151384.4.peg.2451|QQ3_2441|VBICloDif236002_2451|,1308
4hbt%fig|1151385.4.peg.2396|QQ5_2406|VBICloDif236599_2396|,1308
4hbt%fig|1151386.4.peg.2182|QQ7_2282|VBICloDif232872_2182|,1308
4hbt%fig|1151387.4.peg.2411|QQ9_2399|VBICloDif237251_2411|,1308
4hbt%fig|1151388.4.peg.2311|QQA_2344|VBICloDif230349_2311|,1308
4hbt%fig|1151389.4.peg.2370|QQC_2295|VBICloDif229669_2370|,1308
4hbt%fig|1151390.4.peg.2418|QQE_2373|VBICloDif234989_2418|,1308
4hbt%fig|1151391.4.peg.5400|QQG_2525|VBICloDif239587_5400|,1308
4hbt%fig|1151392.4.peg.2255|QQI_2295|VBICloDif234102_2255|,1308
4hbt%fig|1151393.4.peg.2289|QQK_2319|VBICloDif235277_2289|,1308
4hbt%fig|1151394.4.peg.2559|QQM_2554|VBICloDif239870_2559|,1308
4hbt%fig|1151395.4.peg.2385|QQO_2387|VBICloDif230892_2385|,1308
4hbt%fig|1151396.4.peg.2383|QQQ_2375|VBICloDif238908_2383|,1308
4hbt%fig|1151397.4.peg.2540|QQS_2507|VBICloDif235467_2540|,1308
4hbt%fig|1151398.4.peg.2248|QQU_2319|VBICloDif240141_2248|,1308
4hbt%fig|1151399.4.peg.2339|QQW_2438|VBICloDif237860_2339|,1308
4hbt%fig|1151400.4.peg.2310|QQY_2348|VBICloDif229354_2310|,1308
4hbt%fig|1151401.4.peg.2368|QS1_2421|VBICloDif230109_2368|,1308
4hbt%fig|1151402.4.peg.2336|QS3_2353|VBICloDif234833_2336|,1308
4hbt%fig|1151403.4.peg.2349|QS5_2370|VBICloDif237728_2349|,1308
4hbt%fig|1151404.4.peg.2363|QS7_2401|VBICloDif228731_2363|,1308
4hbt%fig|1151405.4.peg.2308|QS9_2293|VBICloDif237209_2308|,1308
4hbt%fig|1151406.4.peg.2448|QSA_2358|VBICloDif234266_2448|,1308
4hbt%fig|1151407.4.peg.2319|QSC_2326|VBICloDif239904_2319|,1308
4hbt%fig|1151408.4.peg.2630|QSE_2647|VBICloDif235226_2630|,1308
4hbt%fig|1151409.4.peg.2644|QSG_2670|VBICloDif234554_2644|,1308
4hbt%fig|1151411.4.peg.2365|QSK_2380|VBICloDif237214_2365|,1308
4hbt%fig|1151412.4.peg.2433|QSM_2432|VBICloDif235961_2433|,1308
4hbt%fig|1151413.4.peg.2310|QSO_2339|VBICloDif229547_2310|,1308
4hbt%fig|1151414.4.peg.2326|QSQ_2361|VBICloDif228325_2326|,1308
4hbt%fig|1151415.3.peg.2349|QSS_2403|VBICloDif233986_2349|,1308
4hbt%fig|1151416.4.peg.2305|QSU_2290|VBICloDif227622_2305|,1308
4hbt%fig|1151417.3.peg.2423|QSW_2385|VBICloDif234900_2423|,1308
4hbt%fig|1151418.4.peg.2409|QSY_2425|VBICloDif231199_2409|,1308
4hbt%fig|1151419.3.peg.2419|QU1_2468|VBICloDif229982_2419|,1308
4hbt%fig|1151420.4.peg.2446|QU3_2458|VBICloDif230595_2446|,1308
4hbt%fig|1151421.4.peg.2325|QU5_2335|VBICloDif228576_2325|,1308
4hbt%fig|1151422.4.peg.2410|QU7_2413|VBICloDif238132_2410|,1308
4hbt%fig|1151423.4.peg.2425|QU9_2445|VBICloDif229250_2425|,1308
4hbt%fig|1151424.4.peg.2399|QUA_2424|VBICloDif235562_2399|,1308
4hbt%fig|1151425.4.peg.2545|QUC_2618|VBICloDif240197_2545|,1308
4hbt%fig|1151426.4.peg.2494|QUE_2520|VBICloDif234211_2494|,1308
4hbt%fig|1151427.3.peg.2226|QUG_2199|VBICloDif233639_2226|,1308
4hbt%fig|1151428.4.peg.2475|QUI_2491|VBICloDif228064_2475|,1308
4hbt%fig|1151429.4.peg.2370|QUK_2355|VBICloDif236275_2370|,1308
4hbt%fig|1151430.4.peg.2459|QUM_2401|VBICloDif236847_2459|,1308
4hbt%fig|1151431.3.peg.2478|QUO_2477|VBICloDif229641_2478|,1308
4hbt%fig|1151432.3.peg.2390|QUQ_2383|VBICloDif237754_2390|,1308
4hbt%fig|1151433.4.peg.2435|QUS_2391|VBICloDif234147_2435|,1308
4hbt%fig|1151434.4.peg.2345|QUU_2368|VBICloDif228531_2345|,1308
4hbt%fig|1151435.4.peg.2336|QUW_2373|VBICloDif235041_2336|,1308
4hbt%fig|1151436.4.peg.2380|QUY_2376|VBICloDif236337_2380|,1308
4hbt%fig|1151437.4.peg.2267|QW1_2307|VBICloDif235189_2267|,1308
4hbt%fig|1151438.4.peg.2415|QW3_2386|VBICloDif237371_2415|,1308
4hbt%fig|1151439.4.peg.2313|QW5_2350|VBICloDif230228_2313|,1308
4hbt%fig|1151440.4.peg.2417|QW7_2465|VBICloDif234952_2417|,1308
4hbt%fig|1161424.3.peg.114|HMPREF1127_1402|VBIFusNec232218_0114|,1311
4hbt%fig|1161902.3.peg.361|HMPREF0378_1494|VBIEubNod238365_0361|,1317
4hbt%fig|1161902.3.peg.1522|HMPREF0378_0021|VBIEubNod238365_1522|,1305
4hbt%fig|1163671.3.peg.1850|VBICloSp283737_1850|,1314
4hbt%fig|1163671.3.peg.1851|VBICloSp283737_1851|,1317
4hbt%fig|1172204.3.peg.1523|VBICloSor233867_1523|,1308
4hbt%fig|1172204.4.peg.1806|WS9_08704|,1308
4hbt%fig|1195243.10.peg.1957|A343_1995|,1296
4hbt%fig|1200349.3.peg.4065|VBICloBei247098_4065|,1311
4hbt%fig|1202535.3.peg.1314|VBICloBei250972_1314|,1311
4hbt%fig|1211023.3.peg.604|SJDPG2_04145|VBIPorGin319546_0604|,1296
4hbt%fig|1211817.3.peg.1449|,1332
4hbt%fig|1211817.3.peg.1474|,1290
4hbt%fig|1212547.3.peg.1479|VBICloTyr253269_1479|,1572
4hbt%fig|1212547.3.peg.2360|VBICloTyr253269_2360|,1302
4hbt%fig|1215059.3.peg.2435|BN163_1290031|,1308
4hbt%fig|1215060.3.peg.631|BN164_1170031|VBICloDif308826_0631|,1308
4hbt%fig|1215061.3.peg.1010|BN166_1580032|VBICloDif312068_1010|,1308
4hbt%fig|1215062.3.peg.1263|BN167_1430013|VBICloDif318023_1263|,1308
4hbt%fig|1215063.3.peg.2036|BN168_510038|VBICloDif314159_2036|,1308
4hbt%fig|1215064.3.peg.1606|BN170_1900004|VBICloDif314522_1606|,1308
4hbt%fig|1215065.3.peg.2298|BN169_720040|VBICloDif308318_2298|,1308
4hbt%fig|1215066.3.peg.1799|BN171_2600004|VBICloDif292756_1799|,1308
4hbt%fig|1215067.3.peg.1870|BN172_3570004|VBICloDif312816_1870|,1308
4hbt%fig|1215068.3.peg.1643|BN173_2180004|VBICloDif318570_1643|,1308
4hbt%fig|1215069.3.peg.1639|BN174_2010004|VBICloDif302791_1639|,1308
4hbt%fig|1215070.3.peg.1536|BN175_1720004|VBICloDif317525_1536|,1308
4hbt%fig|1215071.3.peg.1584|BN176_2100004|VBICloDif307661_1584|,1308
4hbt%fig|1215072.3.peg.2078|BN177_460042|VBICloDif306391_2078|,1308
4hbt%fig|1215073.3.peg.2400|BN178_700042|VBICloDif310842_2400|,1308
4hbt%fig|1215074.3.peg.1668|BN179_2170014|VBICloDif302938_1668|,1308
4hbt%fig|1215075.3.peg.1589|BN180_1750031|VBICloDif301192_1589|,1308
4hbt%fig|1215077.3.peg.1635|BN182_2030023|VBICloDif302075_1635|,1308
4hbt%fig|1215078.3.peg.1704|BN183_2350029|VBICloDif304098_1704|,1308
4hbt%fig|1215079.3.peg.1665|BN184_1800004|VBICloDif309706_1665|,1308
4hbt%fig|1215080.3.peg.1554|BN185_1710004|VBICloDif314395_1554|,1308
4hbt%fig|1215081.3.peg.1508|BN186_1540029|VBICloDif291662_1508|,1308
4hbt%fig|1215082.3.peg.1593|BN187_2270029|VBICloDif306531_1593|,1308
4hbt%fig|1215083.3.peg.1347|BN188_1600012|VBICloDif309173_1347|,1308
4hbt%fig|1215084.3.peg.1818|BN189_2960002|VBICloDif303490_1818|,1308
4hbt%fig|1215085.3.peg.1764|BN190_2890029|VBICloDif318096_1764|,1308
4hbt%fig|1215086.3.peg.2167|BN191_590040|VBICloDif315232_2167|,1308
4hbt%fig|1222029.3.peg.2327|,1308
4hbt%fig|1222030.3.peg.2307|,1308
4hbt%fig|1224745.3.peg.2344|,1308
4hbt%fig|1225722.3.peg.746|BN165_1190031|VBICloDif305227_0746|,1308
4hbt%fig|1226322.3.peg.2269|HMPREF1545_02638|VBIOscSp258519_2269|,1308
4hbt%fig|1226323.3.peg.2835|HMPREF1546_03290|VBIOscSp255373_2835|,1308
4hbt%fig|1226633.3.peg.1381|FNF_06785|,1311
4hbt%fig|1226633.4.peg.140|C095_00730|,1311
4hbt%fig|1227269.3.peg.1377|HMPREF1553_01587|VBIPorGin252763_1377|,1296
4hbt%fig|1227270.3.peg.1143|HMPREF1554_01297|VBIPorGin252209_1143|,1296
4hbt%fig|1227271.3.peg.1042|HMPREF1555_01203|VBIPorGin256111_1042|,1296
4hbt%fig|1230342.3.peg.1925|CTM_09571|,1293
4hbt%fig|1232192.4.peg.2539|C673_2545|VBICloDif258795_2539|,1308
4hbt%fig|1232193.4.peg.2315|C674_2317|VBICloDif259344_2315|,1308
4hbt%fig|1232194.4.peg.2389|C675_2378|VBICloDif260210_2389|,1308
4hbt%fig|1232195.4.peg.2329|C676_2379|VBICloDif258952_2329|,1308
4hbt%fig|1232196.4.peg.2318|C677_2334|VBICloDif261727_2318|,1308
4hbt%fig|1232197.3.peg.2436|C678_2433|VBICloDif259801_2436|,1308
4hbt%fig|1232428.4.peg.2245|VBIMegSp262609_2245|,1305
4hbt%fig|1232439.3.peg.3631|VBICloBac300556_3631|,1296
4hbt%fig|1232445.3.peg.1109|VBICloBac312818_1109|,1302
4hbt%fig|1232447.3.peg.1288|VBICloBac309904_1288|,1305
4hbt%fig|1232459.3.peg.11|VBIOscBac304814_0011|,1296
4hbt%fig|1232459.3.peg.3726|VBIOscBac304814_3726|,1296
4hbt%fig|1235479.3.peg.631|VBIPelSp261991_0631|,1296
4hbt%fig|1236520.3.peg.1280|,1416
4hbt%fig|1236521.3.peg.1764|,1293
4hbt%fig|1236521.3.peg.2207|,1308
4hbt%fig|1265505.3.peg.4387|VBIDesJoe278683_4387|,1281
4hbt%fig|1273103.4.peg.1124|NM10_05888|VBIMegSp281946_1124|,1308
4hbt%fig|1280692.3.peg.2620|VBICloCad267987_2620|,1302
4hbt%fig|1280695.3.peg.1458|VBICloClo271786_1458|,1323
4hbt%fig|1280695.3.peg.1459|VBICloClo271786_1459|,1308
4hbt%fig|1285585.3.peg.52|G153_00260|VBIMegSp304246_0052|,1308
4hbt%fig|1286820.3.peg.533|VBICloMet276606_0533|,1314
4hbt%fig|1286820.3.peg.534|VBICloMet276606_0534|,1317
4hbt%fig|1297579.6.peg.880|H848_04597|VBIFusNuc285170_0880|,1305
4hbt%fig|1297579.6.peg.1826|H848_09713|VBIFusNuc285170_1826|,1305
4hbt%fig|1297617.3.peg.2647|,1608
4hbt%fig|1297617.4.peg.288|IB211_00285|,1608
4hbt%fig|1298920.3.peg.3815|VBIDesGut279876_3815|,1314
4hbt%fig|1298920.3.peg.3816|VBIDesGut279876_3816|,1317
4hbt%fig|1304866.3.peg.5135|K413DRAFT_5136|VBICloSp282378_5135|,1308
4hbt%fig|1304866.3.peg.5136|K413DRAFT_5137|VBICloSp282378_5136|,1317
4hbt%fig|1304881.3.peg.3550|VBICloInd284635_3550|,1317
4hbt%fig|1304881.3.peg.3551|VBICloInd284635_3551|,1314
4hbt%fig|1305617.3.peg.428|PORCRE_465|VBIPorCre299055_0428|,1215
4hbt%fig|1305618.3.peg.1699|PORCAN_1831|VBIPorCan294462_1699|,1215
4hbt%fig|1307832.4.peg.1440|TF3313_1355|,1293
4hbt%fig|1307833.4.peg.844|TFKS16_0768|,1293
4hbt%fig|1316586.3.peg.1155|HMPREF1766_01190|VBIFusNuc290523_1155|,1305
4hbt%fig|1316586.3.peg.1195|HMPREF1766_01230|VBIFusNuc290523_1195|,1305
4hbt%fig|1316937.3.peg.2938|VBICloDio294838_2938|,1311
4hbt%fig|1321784.3.peg.1204|HMPREF1987_01271|VBIPepBac290818_1204|,1296
4hbt%fig|1321821.3.peg.1680|HMPREF1988_01887|VBIPorGin296043_1680|,1296
4hbt%fig|1321822.3.peg.316|HMPREF1989_00350|VBIPorGin298577_0316|,1296
4hbt%fig|1321823.3.peg.291|HMPREF1990_00332|VBIPorGin289960_0291|,1296
4hbt%fig|1339253.3.peg.2463|,1269
4hbt%fig|134605.3.peg.557|HMPREF3206_00555|,1305
4hbt%fig|134605.3.peg.596|HMPREF3206_00594|,1308
4hbt%fig|1347392.3.peg.838|,1299
4hbt%fig|1384082.5.peg.130|HMPREF3033_00139|,1305
4hbt%fig|1403335.5.peg.775|PGF_00007070|,1296
4hbt%fig|1403336.3.peg.1255|PGJ_00011400|,1296
4hbt%fig|1403338.3.peg.1326|PGS_00012300|,1296
4hbt%fig|1408287.3.peg.273|VBIFusNuc310587_0273|,1305
4hbt%fig|1408889.3.peg.641|CTDIVETGP_0644|VBICloTyr321664_0641|,1572
